tag,bundle,temp_c,vctrl_v,icp_a,kvco_hz_per_v,n_div,fc_sim_hz,fc_calc_hz,fc_err_pct,pm_sim_deg,pm_calc_deg,pm_err_deg
loop_rff-mff-xff_T125_F16_N8_L2,rff-mff-xff,125,2.7,3.47957e-06,7.30298e+07,8,300619,300619,0.0000,73.720,73.720,-0.0000
loop_rff-mff-xff_T125_F1_N32_L4,rff-mff-xff,125,2.7,6.959e-06,1.38307e+07,32,35022.3,35022.3,-0.0000,54.450,54.450,-0.0000
loop_rff-mff-xff_T125_F25_N6_L1,rff-mff-xff,125,2.7,1.73981e-06,7.70074e+07,6,214169,214169,0.0000,75.230,75.230,-0.0000
loop_rff-mff-xff_T125_F2_N32_L3,rff-mff-xff,125,2.7,5.2193e-06,2.53688e+07,32,45061.6,45061.6,0.0000,60.405,60.405,0.0000
loop_rff-mff-xff_T125_F4_N16_L3,rff-mff-xff,125,2.7,5.2193e-06,2.53688e+07,16,82835,82835,-0.0000,70.705,70.705,-0.0000
loop_rff-mff-xff_T125_F8_N12_L2,rff-mff-xff,125,2.7,3.47957e-06,4.15794e+07,12,118124,118124,0.0000,73.948,73.948,-0.0000
loop_rss-mss-xss_T-40_F16_N8_L2,rss-mss-xss,-40,0.9,3.47957e-06,7.30298e+07,8,410905,410905,0.0000,60.503,60.503,-0.0000
loop_rss-mss-xss_T-40_F1_N32_L4,rss-mss-xss,-40,0.9,6.959e-06,1.38307e+07,32,45603.4,45603.4,-0.0000,70.707,70.707,-0.0000
loop_rss-mss-xss_T-40_F25_N6_L1,rss-mss-xss,-40,0.9,1.73981e-06,7.70074e+07,6,304203,304203,0.0000,66.321,66.321,-0.0000
loop_rss-mss-xss_T-40_F2_N32_L3,rss-mss-xss,-40,0.9,5.2193e-06,2.53688e+07,32,61570.2,61570.2,-0.0000,73.544,73.544,-0.0000
loop_rss-mss-xss_T-40_F4_N16_L3,rss-mss-xss,-40,0.9,5.2193e-06,2.53688e+07,16,120141,120141,0.0000,75.085,75.085,-0.0000
loop_rss-mss-xss_T-40_F8_N12_L2,rss-mss-xss,-40,0.9,3.47957e-06,4.15794e+07,12,172419,172419,0.0000,73.259,73.259,-0.0000
loop_rtyp-mtyp-xtyp_T27_F16_N8_L2,rtyp-mtyp-xtyp,27,1.8,3.47957e-06,7.30298e+07,8,362317,362317,-0.0000,68.095,68.095,0.0000
loop_rtyp-mtyp-xtyp_T27_F1_N32_L4,rtyp-mtyp-xtyp,27,1.8,6.959e-06,1.38307e+07,32,39516.1,39516.1,0.0000,64.422,64.422,0.0000
loop_rtyp-mtyp-xtyp_T27_F25_N6_L1,rtyp-mtyp-xtyp,27,1.8,1.73981e-06,7.70074e+07,6,261826,261826,-0.0000,72.135,72.135,0.0000
loop_rtyp-mtyp-xtyp_T27_F2_N32_L3,rtyp-mtyp-xtyp,27,1.8,5.2193e-06,2.53688e+07,32,52446.9,52446.9,0.0000,69.052,69.052,0.0000
loop_rtyp-mtyp-xtyp_T27_F4_N16_L3,rtyp-mtyp-xtyp,27,1.8,5.2193e-06,2.53688e+07,16,100804,100804,-0.0000,74.836,74.836,-0.0000
loop_rtyp-mtyp-xtyp_T27_F8_N12_L2,rtyp-mtyp-xtyp,27,1.8,3.47957e-06,4.15794e+07,12,145073,145073,-0.0000,75.335,75.335,0.0000
