corner,temp_c,vdd,corner_id,twin_c0,twin_c1,twin_c2,twin_c3,twin_c4,twin_c5,twin_c6,twin_c7,twin_c8,twin_c9,twin_c10,twin_c11,twin_c12,twin_c13,twin_c14,twin_c15,t8p_a,t8p_b,tcq_raw,tdo_raw,verdict
typical,-40.0,2.97,typical_-40c_2.97v,9.67257e-10,1.01211e-09,1.05277e-09,1.09854e-09,1.13705e-09,1.1835e-09,1.2258e-09,1.27273e-09,1.31133e-09,1.3586e-09,1.40182e-09,1.44936e-09,1.48992e-09,1.53767e-09,1.58149e-09,1.6294e-09,1.49695e-07,2.00713e-08,2.32181e-10,5.73457e-08,PASS
typical,-40.0,3.3,typical_-40c_3.30v,9.05925e-10,9.48173e-10,9.86719e-10,1.02977e-09,1.06638e-09,1.11001e-09,1.15e-09,1.19405e-09,1.23057e-09,1.27491e-09,1.31569e-09,1.36025e-09,1.39864e-09,1.44339e-09,1.48468e-09,1.52956e-09,1.74476e-07,2.34253e-08,2.19994e-08,1.08308e-09,PASS
typical,-40.0,3.63,typical_-40c_3.63v,8.59789e-10,9.00066e-10,9.37009e-10,9.78002e-10,1.01315e-09,1.05465e-09,1.09289e-09,1.13475e-09,1.16967e-09,1.2118e-09,1.25073e-09,1.29305e-09,1.32978e-09,1.37227e-09,1.41165e-09,1.45426e-09,1.95571e-07,2.71306e-08,4.91342e-08,2.55091e-08,PASS
typical,27.0,2.97,typical_27c_2.97v,1.10193e-09,1.15318e-09,1.19985e-09,1.25215e-09,1.29614e-09,1.34922e-09,1.39773e-09,1.45137e-09,1.49497e-09,1.549e-09,1.59856e-09,1.65292e-09,1.69923e-09,1.75384e-09,1.8041e-09,1.85891e-09,1.37163e-07,1.86525e-08,1.74323e-08,1.35099e-09,PASS
typical,27.0,3.3,typical_27c_3.30v,1.0296e-09,1.07769e-09,1.1217e-09,1.17073e-09,1.21232e-09,1.26203e-09,1.30769e-09,1.35788e-09,1.399e-09,1.44954e-09,1.49612e-09,1.54694e-09,1.5906e-09,1.64164e-09,1.68882e-09,1.74003e-09,1.59746e-07,2.10926e-08,2.67695e-10,6.12132e-08,PASS
typical,27.0,3.63,typical_27c_3.63v,9.74556e-10,1.02025e-09,1.06223e-09,1.10877e-09,1.14851e-09,1.19566e-09,1.23913e-09,1.28671e-09,1.3259e-09,1.37379e-09,1.41809e-09,1.46622e-09,1.50782e-09,1.55616e-09,1.60099e-09,1.64947e-09,1.79395e-07,2.39536e-08,2.26618e-08,1.16549e-09,PASS
typical,125.0,2.97,typical_125c_2.97v,1.29633e-09,1.35678e-09,1.41229e-09,1.47399e-09,1.52607e-09,1.5887e-09,1.64634e-09,1.70965e-09,1.76048e-09,1.82427e-09,1.88314e-09,1.94733e-09,2.00206e-09,2.06658e-09,2.12626e-09,2.19102e-09,1.22926e-07,1.81268e-08,1.5694e-08,1.62255e-09,PASS
typical,125.0,3.3,typical_125c_3.30v,1.20851e-09,1.26503e-09,1.31708e-09,1.37472e-09,1.42368e-09,1.48215e-09,1.53613e-09,1.5952e-09,1.64299e-09,1.7025e-09,1.75758e-09,1.81744e-09,1.86881e-09,1.92896e-09,1.98476e-09,2.04512e-09,1.42655e-07,1.93049e-08,2.99392e-10,5.49738e-08,PASS
typical,125.0,3.63,typical_125c_3.63v,1.1402e-09,1.19367e-09,1.24303e-09,1.29752e-09,1.34403e-09,1.39927e-09,1.45041e-09,1.50619e-09,1.55157e-09,1.60775e-09,1.65989e-09,1.71639e-09,1.76512e-09,1.82188e-09,1.87466e-09,1.93161e-09,1.60235e-07,2.11231e-08,2.68854e-10,6.14344e-08,PASS
ff,-40.0,2.97,ff_-40c_2.97v,8.47453e-10,8.87341e-10,9.22862e-10,9.63478e-10,9.9622e-10,1.03736e-09,1.07417e-09,1.11568e-09,1.14741e-09,1.18918e-09,1.2267e-09,1.26869e-09,1.30302e-09,1.34518e-09,1.38316e-09,1.42545e-09,1.59681e-07,2.08643e-08,6.01411e-08,4.0958e-08,PASS
ff,-40.0,3.3,ff_-40c_3.30v,8.01838e-10,8.39737e-10,8.7368e-10,9.12224e-10,9.43582e-10,9.82591e-10,1.01767e-09,1.05701e-09,1.08726e-09,1.12683e-09,1.16255e-09,1.2023e-09,1.23506e-09,1.27497e-09,1.31108e-09,1.3511e-09,1.81053e-07,2.45025e-08,6.80289e-08,4.61711e-08,PASS
ff,-40.0,3.63,ff_-40c_3.63v,7.6707e-10,8.03454e-10,8.36186e-10,8.73152e-10,9.03434e-10,9.4082e-10,9.74584e-10,1.01226e-09,1.04138e-09,1.07927e-09,1.1136e-09,1.15166e-09,1.18321e-09,1.22141e-09,1.2561e-09,1.2944e-09,1.98891e-07,2.88475e-08,2.50242e-08,8.48579e-10,PASS
ff,27.0,2.97,ff_27c_2.97v,9.62851e-10,1.00829e-09,1.04889e-09,1.09518e-09,1.13242e-09,1.17932e-09,1.22138e-09,1.26872e-09,1.3044e-09,1.35205e-09,1.39494e-09,1.44285e-09,1.48191e-09,1.53002e-09,1.57345e-09,1.62172e-09,1.46888e-07,1.89111e-08,1.86056e-08,1.11955e-09,PASS
ff,27.0,3.3,ff_27c_3.30v,9.0843e-10,9.51448e-10,9.90051e-10,1.03383e-09,1.06932e-09,1.11364e-09,1.15356e-09,1.19828e-09,1.2322e-09,1.2772e-09,1.31786e-09,1.36308e-09,1.40021e-09,1.44562e-09,1.48676e-09,1.5323e-09,1.6688e-07,2.20054e-08,4.18691e-08,2.18787e-08,PASS
ff,27.0,3.63,ff_27c_3.63v,8.66405e-10,9.07561e-10,9.44621e-10,9.86464e-10,1.02058e-09,1.06293e-09,1.10119e-09,1.14389e-09,1.17643e-09,1.21939e-09,1.25833e-09,1.30149e-09,1.33711e-09,1.38044e-09,1.41981e-09,1.46326e-09,1.83884e-07,2.5245e-08,2.31898e-08,9.82719e-10,PASS
