# the best-scoring pad-referred candidate (clk_do, residual spread 1.132x) applied bundle by bundle, against the rule's own code
# adjusted_target_ns is 1.343 ns scaled by typical's observable over this bundle's observable -- the number the tester looks up in TYPICAL's sixteen-entry window table, which is the whole of the test program.
# twin_min/max are over this bundle's own nine voltage/temperature points at the PROXY's code.
bundle,rule_code,proxy_code,code_delta,adjusted_target_ns,twin_min_ns,twin_max_ns,spread,margin_to_lo_pct,margin_to_hi_pct,verdict
all-fast,c11,c14,3,1.676,1.256,1.848,1.471,25.61,7.602,in-band
all-slow,c3,c3,0,1.181,1.122,1.726,1.538,12.25,13.71,in-band
ff,c11,c15,4,1.725,1.294,1.905,1.472,29.44,4.757,in-band
fs,c6,c8,2,1.394,1.183,1.791,1.514,18.29,10.47,in-band
mimcap_ff,c7,c7,0,1.343,1.135,1.71,1.507,13.47,14.52,in-band
mimcap_ss,c7,c7,0,1.343,1.135,1.71,1.507,13.47,14.52,in-band
moscap_ff,c7,c7,0,1.343,1.135,1.71,1.507,13.47,14.52,in-band
moscap_ss,c7,c7,0,1.343,1.135,1.71,1.507,13.47,14.52,in-band
res_ff,c7,c9,2,1.439,1.212,1.824,1.505,21.18,8.787,in-band
res_ss,c7,c8,1,1.395,1.17,1.76,1.505,16.97,11.98,in-band
sf,c7,c7,0,1.361,1.137,1.702,1.497,13.7,14.88,in-band
ss,c3,c3,0,1.165,1.122,1.726,1.538,12.25,13.71,in-band
typical,c7,c7,0,1.343,1.135,1.71,1.507,13.47,14.52,in-band (calibration)
