# campaign: supply-sensitivity (power split)
# record_id: 20260831-133708-35c5a33
# generated_utc: 2026-08-31T13:37:08Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /home/ubuntu/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/pll_top.sch -> sim/supply-sensitivity/netlist-snapshots/20260831-133708-35c5a33.spice
# corners: typical bundle x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V, each locked at 100e6 Hz and at 50e6 Hz
# I(f) = I_q + k*f fitted per domain through the two locked operating
#   points; I_q is the frequency-INDEPENDENT (quiescent) part and
#   k*f_out the frequency-PROPORTIONAL (dynamic) part at 100e6 Hz.
# domains: core = pfd_cp + lock_detector (loop_filter is passive);
#   vco = bias + band mirrors + V->I + ring + output buffer;
#   div = divider_chain (div-2/3 cells, retiming flop, input inverters)
bundle,temp_c,vdd_v,domain,i_at_100mhz_a,i_at_50mhz_a,i_quiescent_a,i_dynamic_a,p_quiescent_w,p_dynamic_w
typical,-40,2.97,core,8.00798e-05,6.66566e-05,5.32334e-05,2.68464e-05,0.000158103,7.97338e-05
typical,-40,2.97,div,0.000104961,5.26498e-05,3.386e-07,0.000104622,1.00564e-06,0.000310729
typical,-40,2.97,vco,0.000158373,0.000103872,4.9371e-05,0.000109002,0.000146632,0.000323736
typical,-40,3.30,core,8.43097e-05,9.06997e-05,9.70897e-05,-1.278e-05,0.000320396,-4.2174e-05
typical,-40,3.30,div,0.000120313,6.0436e-05,5.59e-07,0.000119754,1.8447e-06,0.000395188
typical,-40,3.30,vco,0.000191151,0.000125206,5.9261e-05,0.00013189,0.000195561,0.000435237
typical,-40,3.63,core,0.000130949,0.000107169,8.3389e-05,4.756e-05,0.000302702,0.000172643
typical,-40,3.63,div,0.00013617,6.8462e-05,7.54e-07,0.000135416,2.73702e-06,0.00049156
typical,-40,3.63,vco,0.000225971,0.000146821,6.7671e-05,0.0001583,0.000245646,0.000574629
typical,27,2.97,core,7.52586e-05,6.85689e-05,6.18792e-05,1.33794e-05,0.000183781,3.97368e-05
typical,27,2.97,div,0.00010811,5.42354e-05,3.608e-07,0.000107749,1.07158e-06,0.000320015
typical,27,2.97,vco,0.000183064,0.000113531,4.3998e-05,0.000139066,0.000130674,0.000413026
typical,27,3.30,core,8.37946e-05,7.11479e-05,5.85012e-05,2.52934e-05,0.000193054,8.34682e-05
typical,27,3.30,div,0.000123736,6.18621e-05,-1.18e-08,0.000123748,-3.894e-08,0.000408368
typical,27,3.30,vco,0.000217736,0.000134252,5.0768e-05,0.000166968,0.000167534,0.000550994
typical,27,3.63,core,0.000112134,7.39408e-05,3.57476e-05,7.63864e-05,0.000129764,0.000277283
typical,27,3.63,div,0.000139246,6.9758e-05,2.7e-07,0.000138976,9.801e-07,0.000504483
typical,27,3.63,vco,0.000254387,0.000155672,5.6957e-05,0.00019743,0.000206754,0.000716671
typical,125,2.97,core,7.33019e-05,6.80438e-05,6.27857e-05,1.05162e-05,0.000186474,3.12331e-05
typical,125,2.97,div,0.000113374,5.68947e-05,4.154e-07,0.000112959,1.23374e-06,0.000335487
typical,125,2.97,vco,0.000203839,0.000130894,5.7949e-05,0.00014589,0.000172109,0.000433293
typical,125,3.30,core,0.000109806,7.19005e-05,3.3995e-05,7.5811e-05,0.000112183,0.000250176
typical,125,3.30,div,0.000128934,6.45559e-05,1.778e-07,0.000128756,5.8674e-07,0.000424895
typical,125,3.30,vco,0.000238571,0.000151734,6.4897e-05,0.000173674,0.00021416,0.000573124
typical,125,3.63,core,0.000115888,7.448e-05,3.3072e-05,8.2816e-05,0.000120051,0.000300622
typical,125,3.63,div,0.000144546,7.25469e-05,5.478e-07,0.000143998,1.98851e-06,0.000522713
typical,125,3.63,vco,0.000273981,0.000172833,7.1685e-05,0.000202296,0.000260217,0.000734334
