# campaign: supply-sensitivity
# record_id: 20260831-133708-35c5a33
# generated_utc: 2026-08-31T13:37:08Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /home/ubuntu/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/pll_top.sch -> sim/supply-sensitivity/netlist-snapshots/20260831-133708-35c5a33.spice
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points at f_out=100e6 Hz, plus 9 points at f_out=50e6 Hz (typical bundle) for the quiescent/dynamic power split
# dut: design/pll_top.sch (#52) -- pfd_cp (#9, post-#24 cp_dumpbuf) +
#   loop_filter (#10) + vco (#8) + divider_chain + lock_detector (#11)
# band/vctrl0: derived from #8's committed f(Vctrl) table,
#   sim/vco-tuning-range/corners/20260731-175947-0a12e6c/vco_tuning.csv
# fdev_ppm: (f_out - f_out at 3.30 V, same bundle/temp) / f_out(3.30 V), ppm
# phi_b_s: static REF->FB phase error in the late window, seconds
# skew_s: mean UP/DN pulse-WIDTH difference over 3 probes, seconds
# p_tot_w: vdd * (|i_core| + |i_vco| + |i_div|)
# tstop/tmax: the transient length and internal-timestep ceiling THIS
#   row was run at -- per row, not per grid: see the settling escalation
#   and the timestep-ceiling cross-check in run.sh
bundle,temp_c,vdd_v,band,fout_hz,fdev_ppm,ferr,phi_b_s,skew_s,skew_spread_s,wup_s,wdn_s,nmeas,vctrl_avg_v,vctrl_min_v,vctrl_max_v,lock_lvl_v,i_core_a,i_vco_a,i_div_a,p_tot_w,verdict,tstop,tmax
ff,-40,2.97,6,9.99998e+07,-32,2.454e-05,6.62304e-10,6.47397e-10,3.488e-12,2.05539e-09,1.40586e-09,7.99991,1.133,1.129,1.135,2.97,-8.13295e-05,-0.000177781,-0.000108255,0.00109108,PASS,12.0u,100p
ff,-40,3.30,6,1.00003e+08,0,1.66e-05,8.44947e-10,8.24622e-10,1.0888e-11,2.14311e-09,1.31417e-09,7.99996,1.354,1.35,1.356,3.3,-8.60335e-05,-0.000212388,-0.000124802,0.00139664,PASS,12.0u,100p
ff,-40,3.63,6,1e+08,-30,2.137e-06,8.10861e-10,7.94067e-10,3.438e-12,2.02679e-09,1.23061e-09,8.00003,1.548,1.544,1.551,3.63,-9.04002e-05,-0.000247932,-0.000141776,0.00174279,PASS,12.0u,100p
ff,27,2.97,6,9.99917e+07,12,-7.837e-05,-4.06224e-11,-4.94228e-11,3.70785e-11,1.64452e-09,1.70644e-09,7.99995,1.011,1.006,1.013,2.97,-7.31947e-05,-0.00018925,-0.000111743,0.00111134,PASS,12.0u,100p
ff,27,3.30,6,9.99905e+07,0,-6.739e-05,1.35341e-11,2.78609e-12,2.6402e-11,1.53824e-09,1.55148e-09,8.00009,1.215,1.21,1.218,3.3,-7.61809e-05,-0.000223768,-0.000128184,0.00141284,PASS,12.0u,100p
ff,27,3.63,6,1.00007e+08,165,0.0001064,2.15693e-09,2.1232e-09,4.2e-11,3.5413e-09,1.40071e-09,7.99975,1.397,1.392,1.4,6.935e-09,-9.44437e-05,-0.00025893,-0.000144658,0.00180786,FAIL:phi,12.0u,100p
ff,125,2.97,5,1.00005e+08,-59.99,0.0001156,8.21137e-10,7.79856e-10,3.2133e-11,2.73204e-09,1.93259e-09,7.99993,1.733,1.731,1.735,2.97,-9.61551e-05,-0.000224695,-0.000117608,0.00130222,PASS,12.0u,100p
ff,125,3.30,5,1.00011e+08,0,0.000145,1.06092e-09,1.01622e-09,4.1445e-11,2.80866e-09,1.77281e-09,7.99993,2.023,2.021,2.027,3.3,-0.000117633,-0.000260832,-0.000133755,0.00169033,PASS,12.0u,100p
ff,125,3.63,5,1.00015e+08,40,0.000225,1.80848e-09,1.73897e-09,8.375e-11,3.42707e-09,1.64331e-09,7.9996,2.291,2.289,2.295,5.564e-07,-9.67267e-05,-0.000298132,-0.000150479,0.00197958,FAIL:phi,12.0u,100p
fs,-40,2.97,6,1.00002e+08,-50,8.219e-06,8.47331e-10,8.29553e-10,1.6979e-11,2.4926e-09,1.65525e-09,8.00012,0.9826,0.9778,0.9846,2.97,-8.02789e-05,-0.000154335,-0.000104628,0.00100755,PASS,12.0u,100p
fs,-40,3.30,6,1.00007e+08,0,6.891e-05,1.10845e-09,1.10266e-09,9.42e-12,2.61685e-09,1.51248e-09,8.00029,1.229,1.224,1.231,0.9811,-0.000105842,-0.000187276,-0.000119915,0.00136301,FAIL:lock,12.0u,100p
fs,-40,3.63,6,1.00007e+08,0,6.401e-05,1.32641e-09,1.29453e-09,4.508e-11,2.7221e-09,1.40472e-09,7.99983,1.451,1.446,1.454,4.739e-09,-9.13561e-05,-0.000220996,-0.0001358,0.00162679,FAIL:lock,12.0u,100p
fs,27,2.97,5,1.00003e+08,-69.99,3.466e-05,6.52764e-11,3.68071e-11,1.12254e-11,2.01563e-09,1.97859e-09,8.00006,1.76,1.758,1.763,2.97,-7.23084e-05,-0.000179056,-0.000107518,0.00106588,PASS,12.0u,100p
fs,27,3.30,5,1.0001e+08,0,0.0001373,1.08684e-09,1.05562e-09,2.806e-11,2.80823e-09,1.73967e-09,7.99994,2.111,2.109,2.114,3.3,-0.000106694,-0.000213096,-0.000123392,0.0014625,PASS,12.0u,100p
fs,27,3.63,5,1.00003e+08,-69.99,3.358e-05,3.22441e-10,2.96519e-10,6.332e-12,1.91424e-09,1.61425e-09,7.99998,2.442,2.44,2.447,3.63,-8.05624e-05,-0.000249016,-0.00013856,0.00169934,PASS,12.0u,100p
fs,125,2.97,5,1.00009e+08,90,0.0001099,7.78478e-10,7.47635e-10,3.3476e-11,3.03977e-09,2.27611e-09,7.99996,1.541,1.539,1.543,2.97,-8.16512e-05,-0.000198983,-0.000113014,0.00116914,PASS,12.0u,100p
fs,125,3.30,5,1e+08,0,2.224e-05,2.55551e-10,2.26067e-10,1.906e-11,2.32571e-09,2.09032e-09,7.99972,1.85,1.847,1.854,3.3,-7.72185e-05,-0.000232933,-0.000128685,0.00144816,PASS,12.0u,100p
fs,125,3.63,5,1.00002e+08,20,3.364e-05,3.69683e-10,3.40946e-10,1.7707e-11,2.2647e-09,1.91389e-09,7.99996,2.143,2.141,2.147,3.63,-8.20309e-05,-0.000268745,-0.000144053,0.00179623,PASS,12.0u,100p
sf,-40,2.97,6,1.00004e+08,-10,6.38e-05,1.33641e-09,1.31522e-09,2.647e-11,3.06766e-09,1.73939e-09,7.99965,0.9949,0.9911,0.9979,4.299e-09,-8.17865e-05,-0.000162371,-0.000105433,0.00103828,FAIL:lock,12.0u,100p
sf,-40,3.30,6,1.00005e+08,0,8.209e-05,1.27054e-09,1.2577e-09,7.99e-12,2.85173e-09,1.59049e-09,8.00005,1.265,1.261,1.268,4.805e-09,-8.65354e-05,-0.000195654,-0.000120771,0.00132977,FAIL:lock,12.0u,100p
sf,-40,3.63,6,1.00013e+08,80,0.0001713,2.1375e-09,2.11149e-09,3.149e-11,3.59054e-09,1.46788e-09,7.99981,1.497,1.493,1.5,5.536e-09,-9.11454e-05,-0.000230177,-0.000137179,0.00166436,FAIL:phi,12.0u,100p
sf,27,2.97,5,1.00006e+08,-9.999,8.564e-05,3.54666e-10,3.28387e-10,2.2701e-11,2.33519e-09,1.99698e-09,7.99998,1.841,1.839,1.844,2.97,-7.44275e-05,-0.000187929,-0.000108441,0.00110127,PASS,12.0u,100p
