# campaign: pfd-deadzone (per-corner dead-zone verdict)
# record_id: 20260731-103557-7d78a47
# generated_utc: 2026-07-31T10:36:18Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/pfd_cp.sch (xschem export)
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 PVT points, each swept over dphi{-1n,-200p,0,200p,1n} = 225 runs
# kd_near: charge-pump gain at the lock point, [q(+200ps)-q(-200ps)]/400ps (A)
# kd_wide: same, measured out at +/-1 ns (A)
# ratio:   kd_near / kd_wide -- 1.0 is perfectly linear through zero, a dead
#          zone drives it toward 0.  Acceptance: > 0.5 at every corner.
# wmin_zero: smaller of the two UP/DN pulse widths at dphi=0 (s) = PFD reset delay
# q_zero:  net charge per reference cycle at dphi=0 (C) -- the residual
#          up/down asymmetry the loop must null out
# t_offset: static phase offset that nulls it, -q_zero/kd_wide (s)
corner,kd_near_a,kd_wide_a,ratio,wmin_zero_s,q_zero_c,t_offset_s
ff/-40C/2.97V,1.01812e-05,4.2787e-06,2.3795,1.27381e-09,-1.89835e-14,4.43674e-09
ff/-40C/3.30V,1.15857e-05,4.74546e-06,2.4414,1.18417e-09,-1.2991e-14,2.73756e-09
ff/-40C/3.63V,1.43662e-05,4.76292e-06,3.0163,1.11665e-09,-2.70482e-15,5.67891e-10
ff/27C/2.97V,9.77025e-06,4.43725e-06,2.2019,1.46926e-09,-2.48132e-14,5.59202e-09
ff/27C/3.30V,1.1857e-05,4.5058e-06,2.6315,1.36135e-09,-1.41933e-14,3.15001e-09
ff/27C/3.63V,1.14583e-05,4.79002e-06,2.3921,1.27902e-09,-3.73657e-15,7.80073e-10
ff/125C/2.97V,8.16125e-06,4.69375e-06,1.7387,1.74812e-09,-2.63796e-14,5.62015e-09
ff/125C/3.30V,9.35325e-06,4.81025e-06,1.9444,1.61743e-09,-1.57426e-14,3.27272e-09
ff/125C/3.63V,1.20915e-05,4.93208e-06,2.4516,1.51594e-09,-3.51697e-15,7.1308e-10
fs/-40C/2.97V,7.59825e-06,4.337e-06,1.7520,1.51639e-09,-1.46376e-14,3.37505e-09
fs/-40C/3.30V,8.21e-06,4.3145e-06,1.9029,1.38622e-09,-1.54036e-14,3.57019e-09
fs/-40C/3.63V,1.0777e-05,4.25035e-06,2.5356,1.29466e-09,-1.68859e-14,3.97283e-09
fs/27C/2.97V,6.21225e-06,4.2492e-06,1.4620,1.74863e-09,-2.77609e-14,6.53321e-09
fs/27C/3.30V,8.48725e-06,3.84485e-06,2.2074,1.59891e-09,-2.75758e-14,7.17214e-09
fs/27C/3.63V,9.81e-06,4.56225e-06,2.1503,1.48744e-09,-2.14701e-14,4.70603e-09
fs/125C/2.97V,5.76575e-06,4.1654e-06,1.3842,2.07651e-09,-4.06927e-14,9.76922e-09
fs/125C/3.30V,7.11875e-06,4.29265e-06,1.6584,1.89958e-09,-3.32745e-14,7.75151e-09
fs/125C/3.63V,7.81725e-06,4.56865e-06,1.7111,1.76414e-09,-2.37049e-14,5.1886e-09
sf/-40C/2.97V,6.5229e-06,2.61544e-06,2.4940,1.57065e-09,5.9409e-15,-2.27147e-09
sf/-40C/3.30V,7.13713e-06,3.37002e-06,2.1178,1.44178e-09,6.65938e-15,-1.97607e-09
sf/-40C/3.63V,1.32051e-05,5.24381e-06,2.5182,1.34856e-09,1.37011e-14,-2.61281e-09
sf/27C/2.97V,6.75597e-06,3.4266e-06,1.9716,1.8172e-09,-4.36872e-15,1.27494e-09
sf/27C/3.30V,1.09288e-05,5.0159e-06,2.1788,1.6637e-09,2.62462e-15,-5.2326e-10
sf/27C/3.63V,1.12294e-05,5.14028e-06,2.1846,1.54968e-09,1.3463e-14,-2.61912e-09
sf/125C/2.97V,8.85725e-06,5.25958e-06,1.6840,2.16244e-09,-8.91416e-15,1.69484e-09
sf/125C/3.30V,9.75358e-06,5.32078e-06,1.8331,1.98218e-09,2.8263e-15,-5.31182e-10
sf/125C/3.63V,1.24877e-05,5.67111e-06,2.2020,1.84422e-09,1.46645e-14,-2.58582e-09
ss/-40C/2.97V,4.35643e-06,2.19282e-06,1.9867,1.88702e-09,8.52944e-15,-3.88971e-09
ss/-40C/3.30V,4.32143e-06,2.67792e-06,1.6137,1.70846e-09,8.03638e-15,-3.00098e-09
ss/-40C/3.63V,5.16103e-06,3.05968e-06,1.6868,1.57857e-09,8.16311e-15,-2.66796e-09
ss/27C/2.97V,4.25065e-06,2.52092e-06,1.6861,2.17853e-09,-3.15452e-15,1.25133e-09
ss/27C/3.30V,4.77675e-06,2.9946e-06,1.5951,1.97164e-09,-3.03461e-15,1.01336e-09
ss/27C/3.63V,6.64043e-06,4.07785e-06,1.6284,1.81912e-09,-1.00498e-15,2.46448e-10
ss/125C/2.97V,4.53625e-06,3.73085e-06,1.2159,2.58579e-09,-1.69035e-14,4.53074e-09
ss/125C/3.30V,5.8025e-06,4.84366e-06,1.1980,2.34264e-09,-1.26658e-14,2.61493e-09
ss/125C/3.63V,7.61988e-06,5.47621e-06,1.3914,2.16057e-09,-3.60836e-15,6.58915e-10
typical/-40C/2.97V,8.27492e-06,3.60977e-06,2.2924,1.53422e-09,-2.8964e-15,8.02378e-10
typical/-40C/3.30V,9.4469e-06,4.42305e-06,2.1358,1.40644e-09,-3.90237e-15,8.82281e-10
typical/-40C/3.63V,1.03795e-05,5.03327e-06,2.0622,1.31415e-09,-1.47843e-15,2.93732e-10
typical/27C/2.97V,5.2185e-06,4.09635e-06,1.2739,1.77275e-09,-1.58337e-14,3.86532e-09
typical/27C/3.30V,7.99025e-06,4.6534e-06,1.7171,1.62313e-09,-1.21532e-14,2.61168e-09
typical/27C/3.63V,1.09406e-05,5.19702e-06,2.1052,1.51158e-09,-3.49282e-15,6.72081e-10
typical/125C/2.97V,6.184e-06,4.631e-06,1.3353,2.10885e-09,-2.54384e-14,5.49307e-09
typical/125C/3.30V,9.128e-06,5.01065e-06,1.8217,1.93159e-09,-1.55694e-14,3.10726e-09
typical/125C/3.63V,9.58967e-06,5.06061e-06,1.8950,1.79564e-09,-3.81427e-15,7.53717e-10
