# campaign: pfd-deadzone
# record_id: 20260731-121919-63e4b47
# generated_utc: 2026-07-31T12:19:32Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/pfd_cp.sch (xschem export)
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 PVT points, each swept over dphi{-1n,-200p,0,200p,1n} = 225 runs
# ref period 40 ns (25 MHz, the top of DR-002's ratified 1-25 MHz v1 range)
# vctrl held at 1.65 V; Icp trim code b1b0=10 (3 unit legs)
# dphi: FB-relative-to-REF phase offset (s)
# qnet: net charge delivered to the control node per reference cycle (C),
#   positive = pump sourcing.  This is the dead-zone-critical quantity.
# width_up/width_dn: UP/DN pulse width (s) at the per-corner mid-supply
#   crossing, third reference cycle.  Their MINIMUM is the PFD reset delay
#   that #11's retiming pulse must be at least as wide as.
process,temp_c,vdd_v,dphi_s,qnet_c,width_up_s,width_dn_s
ff,-40,2.97,-1n,-2.49829E-14,1.26375E-09,2.28313E-09
ff,-40,2.97,-200p,-2.23187E-14,1.26347E-09,1.48231E-09
ff,-40,2.97,0,-1.89835E-14,1.27381E-09,1.29277E-09
ff,-40,2.97,1n,-1.64255E-14,2.23947E-09,1.25706E-09
ff,-40,2.97,200p,-1.82462E-14,1.43839E-09,1.2564E-09
ff,-40,3.30,-1n,-1.93814E-14,1.1737E-09,2.19485E-09
ff,-40,3.30,-200p,-1.66581E-14,1.17373E-09,1.39478E-09
ff,-40,3.30,0,-1.2991E-14,1.18417E-09,1.20508E-09
ff,-40,3.30,1n,-9.89048E-15,2.15283E-09,1.17209E-09
ff,-40,3.30,200p,-1.20238E-14,1.35188E-09,1.1713E-09
ff,-40,3.63,-1n,-9.98721E-15,1.10622E-09,2.12946E-09
ff,-40,3.63,-200p,-7.6722E-15,1.10665E-09,1.32979E-09
ff,-40,3.63,0,-2.70482E-15,1.11665E-09,1.13965E-09
ff,-40,3.63,1n,-4.61363E-16,2.08701E-09,1.10826E-09
ff,-40,3.63,200p,-1.92571E-15,1.28654E-09,1.10794E-09
ff,27,2.97,-1n,-3.12564E-14,1.45603E-09,2.47948E-09
ff,27,2.97,-200p,-2.78182E-14,1.45599E-09,1.67965E-09
ff,27,2.97,0,-2.48132E-14,1.46926E-09,1.49235E-09
ff,27,2.97,1n,-2.23819E-14,2.42843E-09,1.44969E-09
ff,27,2.97,200p,-2.39101E-14,1.62749E-09,1.44926E-09
ff,27,3.30,-1n,-2.08387E-14,1.34876E-09,2.37521E-09
ff,27,3.30,-200p,-1.78965E-14,1.34928E-09,1.5754E-09
ff,27,3.30,0,-1.41933E-14,1.36135E-09,1.38737E-09
ff,27,3.30,1n,-1.18271E-14,2.3242E-09,1.34824E-09
ff,27,3.30,200p,-1.31537E-14,1.52227E-09,1.34698E-09
ff,27,3.63,-1n,-1.0503E-14,1.26737E-09,2.29566E-09
ff,27,3.63,-200p,-7.79347E-15,1.26721E-09,1.49482E-09
ff,27,3.63,0,-3.73657E-15,1.27902E-09,1.30703E-09
ff,27,3.63,1n,-9.2295E-16,2.24409E-09,1.27008E-09
ff,27,3.63,200p,-3.21016E-15,1.44319E-09,1.26981E-09
ff,125,2.97,-1n,-3.29101E-14,1.73072E-09,2.76206E-09
ff,125,2.97,-200p,-2.916E-14,1.73242E-09,1.96374E-09
ff,125,2.97,0,-2.63796E-14,1.74812E-09,1.77896E-09
ff,125,2.97,1n,-2.35226E-14,2.69814E-09,1.72658E-09
ff,125,2.97,200p,-2.58955E-14,1.89795E-09,1.72686E-09
ff,125,3.30,-1n,-2.25074E-14,1.60081E-09,2.63487E-09
ff,125,3.30,-200p,-1.89574E-14,1.60159E-09,1.83589E-09
ff,125,3.30,0,-1.57426E-14,1.61743E-09,1.65102E-09
ff,125,3.30,1n,-1.28869E-14,2.57189E-09,1.60282E-09
ff,125,3.30,200p,-1.52161E-14,1.771E-09,1.60259E-09
ff,125,3.63,-1n,-1.10917E-14,1.49946E-09,2.53531E-09
ff,125,3.63,-200p,-7.95388E-15,1.50021E-09,1.73628E-09
ff,125,3.63,0,-3.51697E-15,1.51594E-09,1.55145E-09
ff,125,3.63,1n,-1.22754E-15,2.47234E-09,1.50566E-09
ff,125,3.63,200p,-3.11729E-15,1.6726E-09,1.50598E-09
fs,-40,2.97,-1n,-2.05042E-14,1.50287E-09,2.52335E-09
fs,-40,2.97,-200p,-1.66893E-14,1.50327E-09,1.72366E-09
fs,-40,2.97,0,-1.46376E-14,1.51639E-09,1.53641E-09
fs,-40,2.97,1n,-1.18302E-14,2.47613E-09,1.49353E-09
fs,-40,2.97,200p,-1.365E-14,1.67426E-09,1.49243E-09
fs,-40,3.30,-1n,-2.15013E-14,1.37373E-09,2.39344E-09
fs,-40,3.30,-200p,-1.83089E-14,1.37355E-09,1.59321E-09
fs,-40,3.30,0,-1.54036E-14,1.38622E-09,1.40558E-09
fs,-40,3.30,1n,-1.28723E-14,2.35223E-09,1.36895E-09
fs,-40,3.30,200p,-1.50249E-14,1.55096E-09,1.36835E-09
fs,-40,3.63,-1n,-2.32577E-14,1.28183E-09,2.30208E-09
fs,-40,3.63,-200p,-2.01537E-14,1.28154E-09,1.50186E-09
fs,-40,3.63,0,-1.68859E-14,1.29466E-09,1.3143E-09
fs,-40,3.63,1n,-1.4757E-14,2.26465E-09,1.28169E-09
fs,-40,3.63,200p,-1.58429E-14,1.4631E-09,1.28034E-09
fs,27,2.97,-1n,-3.35386E-14,1.73117E-09,2.75361E-09
fs,27,2.97,-200p,-2.96144E-14,1.73184E-09,1.95492E-09
fs,27,2.97,0,-2.77609E-14,1.74863E-09,1.77067E-09
fs,27,2.97,1n,-2.50402E-14,2.70293E-09,1.72192E-09
fs,27,2.97,200p,-2.71295E-14,1.9011E-09,1.72083E-09
fs,27,3.30,-1n,-3.35192E-14,1.58149E-09,2.60444E-09
fs,27,3.30,-200p,-3.00177E-14,1.58253E-09,1.80574E-09
fs,27,3.30,0,-2.75758E-14,1.59891E-09,1.62111E-09
fs,27,3.30,1n,-2.58295E-14,2.55872E-09,1.57793E-09
fs,27,3.30,200p,-2.66228E-14,1.75781E-09,1.57754E-09
fs,27,3.63,-1n,-2.80056E-14,1.47077E-09,2.49552E-09
fs,27,3.63,-200p,-2.43586E-14,1.47115E-09,1.69563E-09
fs,27,3.63,0,-2.14701E-14,1.48744E-09,1.51134E-09
fs,27,3.63,1n,-1.88811E-14,2.45079E-09,1.47169E-09
fs,27,3.63,200p,-2.04346E-14,1.64876E-09,1.47059E-09
