corner,temp_c,vdd,terr,trim,corner_id,twin_r,twin_f,ta_asrt,tb_asrt,tc_asrt,td_asrt,te_asrt,la_lvl,lb_lvl,lc_lvl,ld_lvl,le_lvl,va_lvl,te_deas,le_pre,iavg,lock_pass,verdict
ss,-40.0,2.97,e4.0n,c3,ss_-40c_2.97v_e4.0n_c3,1.29086e-09,1.29016e-09,not measured,1.16623e-06,not measured,not measured,1.16623e-06,5.32005e-09,2.97,5.08154e-09,4.06819e-09,6.60242e-10,0.0282008,2.40514e-06,2.97,-0.000114615,1.0,PASS
ss,-40.0,3.3,e4.0n,c3,ss_-40c_3.30v_e4.0n_c3,1.19685e-09,1.18597e-09,not measured,9.86685e-07,not measured,not measured,9.86685e-07,5.30516e-09,3.3,5.24331e-09,4.56724e-09,2.4293e-09,0.0412541,2.40494e-06,3.3,-0.000132028,1.0,PASS
ss,-40.0,3.63,e4.0n,c3,ss_-40c_3.63v_e4.0n_c3,1.13566e-09,1.11714e-09,not measured,8.6073e-07,not measured,not measured,8.6073e-07,5.12732e-09,3.63,4.8197e-09,4.48141e-09,8.95575e-09,0.0563254,2.40481e-06,3.63,-0.000149858,1.0,PASS
ss,27.0,2.97,e4.0n,c3,ss_27c_2.97v_e4.0n_c3,1.47887e-09,1.4674e-09,not measured,1.4699e-06,not measured,not measured,1.4699e-06,8.04557e-09,2.97,8.05891e-09,5.83209e-09,2.83975e-09,0.01944,2.40533e-06,2.97,-0.000120239,1.0,PASS
ss,27.0,3.3,e4.0n,c3,ss_27c_3.30v_e4.0n_c3,1.36601e-09,1.35039e-09,not measured,1.25007e-06,not measured,not measured,1.25007e-06,8.49007e-09,3.3,8.48501e-09,5.85731e-09,2.57475e-09,0.0294544,2.4052e-06,3.3,-0.000135335,1.0,PASS
ss,27.0,3.63,e4.0n,c3,ss_27c_3.63v_e4.0n_c3,1.28196e-09,1.26789e-09,not measured,1.09102e-06,not measured,not measured,1.09102e-06,8.16171e-09,3.63,8.23008e-09,5.93312e-09,-5.37576e-11,0.0419036,2.40502e-06,3.63,-0.000152443,1.0,PASS
ss,125.0,2.97,e4.0n,c3,ss_125c_2.97v_e4.0n_c3,1.73988e-09,1.71863e-09,not measured,1.91254e-06,not measured,not measured,1.91254e-06,9.57744e-09,2.97,1.00457e-08,1.12389e-08,1.42581e-08,0.0136386,2.40546e-06,2.97,-0.000159326,1.0,PASS
ss,125.0,3.3,e4.0n,c3,ss_125c_3.30v_e4.0n_c3,1.60972e-09,1.58403e-09,not measured,1.63875e-06,not measured,not measured,1.63875e-06,1.37922e-08,3.3,1.37764e-08,1.23083e-08,1.00034e-08,0.0203325,2.40536e-06,3.3,-0.000161459,1.0,PASS
ss,125.0,3.63,e4.0n,c3,ss_125c_3.63v_e4.0n_c3,1.50978e-09,1.48171e-09,not measured,1.43277e-06,not measured,not measured,1.43277e-06,1.64734e-08,3.63,1.64773e-08,1.39399e-08,1.07945e-08,0.0289012,2.40534e-06,3.63,-0.000172399,1.0,PASS
all-slow,-40.0,2.97,e4.0n,c3,all-slow_-40c_2.97v_e4.0n_c3,1.29086e-09,1.29016e-09,not measured,1.16623e-06,not measured,not measured,1.16623e-06,5.32005e-09,2.97,5.08154e-09,4.06819e-09,6.60242e-10,0.0282008,2.40514e-06,2.97,-0.000114615,1.0,PASS
all-slow,-40.0,3.3,e4.0n,c3,all-slow_-40c_3.30v_e4.0n_c3,1.19685e-09,1.18597e-09,not measured,9.86685e-07,not measured,not measured,9.86685e-07,5.30516e-09,3.3,5.24331e-09,4.56724e-09,2.4293e-09,0.0412541,2.40494e-06,3.3,-0.000132028,1.0,PASS
all-slow,-40.0,3.63,e4.0n,c3,all-slow_-40c_3.63v_e4.0n_c3,1.13566e-09,1.11714e-09,not measured,8.6073e-07,not measured,not measured,8.6073e-07,5.12732e-09,3.63,4.8197e-09,4.48141e-09,8.95575e-09,0.0563254,2.40481e-06,3.63,-0.000149858,1.0,PASS
all-slow,27.0,2.97,e4.0n,c3,all-slow_27c_2.97v_e4.0n_c3,1.47887e-09,1.4674e-09,not measured,1.4699e-06,not measured,not measured,1.4699e-06,8.04557e-09,2.97,8.05891e-09,5.83209e-09,2.83975e-09,0.01944,2.40533e-06,2.97,-0.000120239,1.0,PASS
all-slow,27.0,3.3,e4.0n,c3,all-slow_27c_3.30v_e4.0n_c3,1.36601e-09,1.35039e-09,not measured,1.25007e-06,not measured,not measured,1.25007e-06,8.49007e-09,3.3,8.48501e-09,5.85731e-09,2.57475e-09,0.0294544,2.4052e-06,3.3,-0.000135335,1.0,PASS
all-slow,27.0,3.63,e4.0n,c3,all-slow_27c_3.63v_e4.0n_c3,1.28196e-09,1.26789e-09,not measured,1.09102e-06,not measured,not measured,1.09102e-06,8.16171e-09,3.63,8.23008e-09,5.93312e-09,-5.37576e-11,0.0419036,2.40502e-06,3.63,-0.000152443,1.0,PASS
all-slow,125.0,2.97,e4.0n,c3,all-slow_125c_2.97v_e4.0n_c3,1.73988e-09,1.71863e-09,not measured,1.91254e-06,not measured,not measured,1.91254e-06,9.57744e-09,2.97,1.00457e-08,1.12389e-08,1.42581e-08,0.0136386,2.40546e-06,2.97,-0.000159326,1.0,PASS
all-slow,125.0,3.3,e4.0n,c3,all-slow_125c_3.30v_e4.0n_c3,1.60972e-09,1.58403e-09,not measured,1.63875e-06,not measured,not measured,1.63875e-06,1.37922e-08,3.3,1.37764e-08,1.23083e-08,1.00034e-08,0.0203325,2.40536e-06,3.3,-0.000161459,1.0,PASS
all-slow,125.0,3.63,e4.0n,c3,all-slow_125c_3.63v_e4.0n_c3,1.50978e-09,1.48171e-09,not measured,1.43277e-06,not measured,not measured,1.43277e-06,1.64734e-08,3.63,1.64773e-08,1.39399e-08,1.07945e-08,0.0289012,2.40534e-06,3.63,-0.000172399,1.0,PASS
fs,-40.0,2.97,e4.0n,c6,fs_-40c_2.97v_e4.0n_c6,1.25236e-09,1.23993e-09,not measured,1.13785e-06,not measured,not measured,1.13785e-06,8.71346e-11,2.97,1.36848e-10,2.78419e-09,6.80608e-09,0.0317176,2.40456e-06,2.97,-0.000130238,1.0,PASS
fs,-40.0,3.3,e4.0n,c6,fs_-40c_3.30v_e4.0n_c6,1.17498e-09,1.15276e-09,not measured,9.6684e-07,not measured,not measured,9.6684e-07,-1.31372e-09,3.3,-3.36577e-10,2.57379e-09,9.64543e-09,0.045868,2.40451e-06,3.3,-0.000149681,1.0,PASS
