# campaign: cp-compliance (switching)
# record_id: 20260731-122451-63e4b47
# generated_utc: 2026-07-31T12:25:07Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/cp.sch (xschem export)
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 PVT points; DC bench run at all 4 Icp trim codes (180 runs), switching bench run at Vctrl {0.9, 1.65, 2.4} V at the nominal trim code (135 runs)
# Both polarities driven from the SAME control edge, one instance each, at the
# nominal trim code (b1 b0 = 1 0).
# iup_ss/idn_ss: steady-state current late in the 5 ns control pulse (A)
# qup/qdn: charge delivered over the switching event, including the tail-node
#   charge-sharing transient (C).  Sign convention: qup > 0 (sourced into the
#   control node), qdn < 0 (sunk out of it).
# wup/wdn: effective pulse width each polarity presents to the loop, q/i_ss (s)
# wskew: wup - wdn, the effective UP/DN TIMING mismatch (s) -- the quantity
#   that turns charge-pump asymmetry into static phase error
# ton_*/toff_*: 50%-of-i_ss crossing referenced to the 50% control edge (s)
process,temp_c,vdd_v,vctrl_v,iup_ss_a,idn_ss_a,qup_c,qdn_c,wup_s,wdn_s,wskew_s,ton_up_s,ton_dn_s,toff_up_s,toff_dn_s
ff,-40,2.97,0.9,5.14923E-06,-4.97427E-06,3.62528E-14,-4.48796E-15,7.04042E-09,9.02234E-10,6.13818E-09,-9.99543E-11,1.00428E-10,-9.99038E-11,2.78616E-11
ff,-40,2.97,1.65,5.1801E-06,-4.99877E-06,1.15613E-14,-3.29111E-14,2.23186E-09,6.58384E-09,-4.35198E-09,-9.99825E-11,-6.54758E-12,-9.99132E-11,2.07008E-11
ff,-40,2.97,2.4,5.21528E-06,-5.012E-06,-2.87599E-14,-4.33505E-14,-5.51454E-09,8.64935E-09,-1.41639E-08,-9.99823E-11,4.91841E-11,-9.99143E-11,1.72548E-11
ff,-40,3.30,0.9,5.14462E-06,-4.97431E-06,4.04386E-14,6.90014E-15,7.86038E-09,-1.38715E-09,9.24753E-09,-9.99491E-11,1.00332E-10,-9.99133E-11,2.59622E-11
ff,-40,3.30,1.65,5.17262E-06,-4.99882E-06,1.83003E-14,-3.00412E-14,3.53791E-09,6.00965E-09,-2.47174E-09,-9.99842E-11,-1.02206E-11,-9.99221E-11,1.95044E-11
ff,-40,3.30,2.4,5.22223E-06,-5.02258E-06,-2.04141E-14,-4.73191E-14,-3.90908E-09,9.42126E-09,-1.33303E-08,-9.99841E-11,4.42166E-11,-9.9922E-11,1.49733E-11
ff,-40,3.63,0.9,5.13632E-06,-4.97435E-06,4.55905E-14,2.06598E-14,8.8761E-09,-4.15326E-09,1.30294E-08,-9.99471E-11,1.00302E-10,-9.99212E-11,2.65698E-11
ff,-40,3.63,1.65,5.16089E-06,-4.99885E-06,2.56859E-14,-2.5757E-14,4.97703E-09,5.15258E-09,-1.75547E-10,-9.99857E-11,-1.24056E-11,-9.99287E-11,1.87554E-11
ff,-40,3.63,2.4,5.22101E-06,-5.02472E-06,-1.17378E-14,-4.52562E-14,-2.24818E-09,9.00672E-09,-1.12549E-08,-9.99856E-11,-2.26231E-11,-9.99292E-11,1.22988E-11
ff,27,2.97,0.9,5.26578E-06,-5.2092E-06,3.84586E-14,-5.50463E-15,7.30349E-09,1.05671E-09,6.24678E-09,-9.99682E-11,1.03815E-10,-9.99007E-11,3.14395E-11
ff,27,2.97,1.65,5.26404E-06,-5.23471E-06,1.00439E-14,-3.61545E-14,1.90802E-09,6.90669E-09,-4.99866E-09,-9.99821E-11,1.23106E-12,-9.99119E-11,2.21178E-11
ff,27,2.97,2.4,5.25757E-06,-5.25014E-06,-3.1621E-14,-4.80971E-14,-6.01438E-09,9.1611E-09,-1.51755E-08,-9.99821E-11,4.46974E-11,-9.99128E-11,1.89102E-11
ff,27,3.30,0.9,5.26524E-06,-5.20931E-06,4.37325E-14,6.04184E-15,8.30589E-09,-1.15982E-09,9.46571E-09,-9.9965E-11,1.04063E-10,-9.99116E-11,3.07982E-11
ff,27,3.30,1.65,5.2613E-06,-5.23483E-06,1.80568E-14,-3.23672E-14,3.432E-09,6.18305E-09,-2.75105E-09,-9.99839E-11,-2.95769E-12,-9.99196E-11,2.12374E-11
ff,27,3.30,2.4,5.27596E-06,-5.26014E-06,-2.18774E-14,-5.0788E-14,-4.14662E-09,9.65524E-09,-1.38019E-08,-9.99839E-11,4.17955E-11,-9.99208E-11,1.72869E-11
ff,27,3.63,0.9,5.26235E-06,-5.20941E-06,4.90093E-14,1.91772E-14,9.31319E-09,-3.68127E-09,1.29945E-08,-9.99616E-11,1.04577E-10,-9.99196E-11,3.14169E-11
ff,27,3.63,1.65,5.25569E-06,-5.23491E-06,2.57186E-14,-2.75911E-14,4.89347E-09,5.27059E-09,-3.77118E-10,-9.99853E-11,-5.27903E-12,-9.99262E-11,2.06888E-11
ff,27,3.63,2.4,5.28412E-06,-5.26149E-06,-1.28903E-14,-4.84066E-14,-2.43944E-09,9.20017E-09,-1.16396E-08,-9.99854E-11,-1.82688E-11,-9.99281E-11,1.50904E-11
ff,125,2.97,0.9,5.41114E-06,-5.42801E-06,4.33465E-14,-5.54595E-15,8.0106E-09,1.02173E-09,6.98887E-09,-9.9975E-11,1.15314E-10,-9.99025E-11,3.78493E-11
ff,125,2.97,1.65,5.35328E-06,-5.45333E-06,9.79465E-15,-3.87831E-14,1.82965E-09,7.11182E-09,-5.28216E-09,-9.99817E-11,3.74878E-11,-9.99075E-11,2.46826E-11
ff,125,2.97,2.4,5.29939E-06,-5.47018E-06,-3.34692E-14,-5.30763E-14,-6.31567E-09,9.70285E-09,-1.60185E-08,-9.99819E-11,4.09554E-11,-9.99122E-11,2.07033E-11
ff,125,3.30,0.9,5.42299E-06,-5.42836E-06,4.8966E-14,5.6976E-15,9.02933E-09,-1.0496E-09,1.00789E-08,-9.99748E-11,1.16331E-10,-9.991E-11,3.76631E-11
ff,125,3.30,1.65,5.3593E-06,-5.45367E-06,1.81091E-14,-3.45646E-14,3.37901E-09,6.33786E-09,-2.95885E-09,-9.99835E-11,3.60915E-11,-9.99159E-11,2.32222E-11
ff,125,3.30,2.4,5.33105E-06,-5.47868E-06,-2.32798E-14,-5.44271E-14,-4.36683E-09,9.93434E-09,-1.43012E-08,-9.99837E-11,3.72859E-11,-9.99206E-11,1.81744E-11
ff,125,3.63,0.9,5.42893E-06,-5.4287E-06,5.44549E-14,1.8312E-14,1.00305E-08,-3.37318E-09,1.34037E-08,-9.9974E-11,1.17149E-10,-9.99182E-11,3.78671E-11
ff,125,3.63,1.65,5.36197E-06,-5.45398E-06,2.61188E-14,-2.91486E-14,4.87112E-09,5.34446E-09,-4.73342E-10,-9.9985E-11,7.97672E-11,-9.99225E-11,2.32362E-11
ff,125,3.63,2.4,5.3496E-06,-5.47986E-06,-1.38963E-14,-5.18764E-14,-2.59763E-09,9.46674E-09,-1.20644E-08,-9.99852E-11,-8.51121E-12,-9.99269E-11,1.78992E-11
fs,-40,2.97,0.9,5.14713E-06,-4.96287E-06,2.82539E-14,-4.68451E-15,5.48925E-09,9.43911E-10,4.54534E-09,-9.99336E-11,1.00482E-10,-9.99134E-11,4.23568E-11
fs,-40,2.97,1.65,5.15692E-06,-4.98708E-06,1.37422E-14,-3.21783E-14,2.6648E-09,6.45233E-09,-3.78752E-09,-9.99828E-11,4.93709E-13,-9.9918E-11,3.65187E-11
fs,-40,2.97,2.4,5.1763E-06,-4.99915E-06,-2.77592E-14,-4.20632E-14,-5.36274E-09,8.41407E-09,-1.37768E-08,-9.99827E-11,5.36566E-11,-9.99244E-11,3.44622E-11
fs,-40,3.30,0.9,5.15034E-06,-4.96286E-06,2.7069E-14,1.36745E-15,5.25578E-09,-2.75537E-10,5.53132E-09,-9.99395E-11,1.00335E-10,-9.99204E-11,3.96166E-11
fs,-40,3.30,1.65,5.1607E-06,-4.98712E-06,1.52481E-14,-3.43886E-14,2.95466E-09,6.89548E-09,-3.94082E-09,-9.99844E-11,-2.80366E-12,-9.99273E-11,3.21741E-11
fs,-40,3.30,2.4,5.19366E-06,-5.00957E-06,-2.45556E-14,-5.10742E-14,-4.72799E-09,1.01953E-08,-1.49233E-08,-9.99845E-11,4.00446E-11,-9.99307E-11,3.12295E-11
fs,-40,3.63,0.9,5.1537E-06,-4.96288E-06,2.76369E-14,8.31911E-15,5.36254E-09,-1.67627E-09,7.03881E-09,-9.99447E-11,1.00259E-10,-9.99281E-11,3.75138E-11
fs,-40,3.63,1.65,5.16113E-06,-4.98715E-06,1.81169E-14,-3.47524E-14,3.51026E-09,6.9684E-09,-3.45814E-09,-9.99858E-11,-6.46913E-12,-9.9934E-11,3.11774E-11
