# campaign: divider-ratio/retiming
# record_id: 20260731-104619-2610998
# generated_utc: 2026-07-31T10:46:57Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/divider_chain.sch (t_arr) joined with record 20260731-104616-2610998 (t_setup)
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points at N=64 (k=6, the longest chain and therefore the largest accumulated clk->Q), kf=200 MHz
# setup_margin_s = T_vco - t_arr_s - tsetup_s, evaluated at N=64 (k=6) and
#   kf = 200 MHz, the v1 output ceiling (DR-002 Decision 2). This is DR-001
#   Decision 3's budget verbatim: "one VCO period minus the chain's
#   accumulated clk->Q", less the flop's own setup requirement.
# hold_margin_s = t_arr_s - thold_s, from the same pair of records.
# tsetup_s / thold_s are joined per PVT point from the dff record named above.
process,temp_c,vdd_v,t_arr_s,tsetup_s,thold_s,tvco_s,setup_margin_s,hold_margin_s,verdict
ff,-40,2.97,2.33857e-09,2e-11,1e-10,5e-09,2.64143e-09,2.23857e-09,CLOSES
ff,-40,3.63,2.10244e-09,2e-11,1e-10,5e-09,2.87756e-09,2.00244e-09,CLOSES
ff,27,2.97,2.68359e-09,5e-11,1e-10,5e-09,2.26641e-09,2.58359e-09,CLOSES
ff,125,2.97,3.13392e-09,5e-11,1e-10,5e-09,1.81608e-09,3.03392e-09,CLOSES
fs,-40,2.97,2.85546e-09,5e-11,1e-10,5e-09,2.09454e-09,2.75546e-09,CLOSES
fs,27,2.97,3.25125e-09,5e-11,1e-10,5e-09,1.69875e-09,3.15125e-09,CLOSES
fs,125,2.97,3.79991e-09,5e-11,1e-10,5e-09,1.15009e-09,3.69991e-09,CLOSES
sf,-40,2.97,2.84021e-09,2e-11,1e-10,5e-09,2.13979e-09,2.74021e-09,CLOSES
sf,27,2.97,3.2271e-09,2e-11,1e-10,5e-09,1.7529e-09,3.1271e-09,CLOSES
sf,125,2.97,3.78762e-09,5e-11,1e-10,5e-09,1.16238e-09,3.68762e-09,CLOSES
ss,-40,2.97,3.46043e-09,5e-11,1e-10,5e-09,1.48957e-09,3.36043e-09,CLOSES
ss,27,2.97,3.95276e-09,5e-11,1e-10,5e-09,9.9724e-10,3.85276e-09,CLOSES
ss,125,2.97,4.64717e-09,5e-11,1e-10,5e-09,3.0283e-10,4.54717e-09,CLOSES
typical,-40,2.97,2.83138e-09,5e-11,1e-10,5e-09,2.11862e-09,2.73138e-09,CLOSES
typical,27,2.97,3.22263e-09,5e-11,1e-10,5e-09,1.72737e-09,3.12263e-09,CLOSES
typical,27,3.30,2.97655e-09,5e-11,1e-10,5e-09,1.97345e-09,2.87655e-09,CLOSES
typical,125,2.97,3.78029e-09,5e-11,1e-10,5e-09,1.16971e-09,3.68029e-09,CLOSES
