# campaign: divider-ratio/chain
# record_id: 20260731-104619-2610998
# generated_utc: 2026-07-31T10:46:57Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/divider_chain.sch -> design/netlist/divider_chain.spice + sim/divider-ratio/testbench/tb_divider_chain.sp
# corners: N=4..64 at 3 stress corners; N in {4,33,64} over process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points; N in {4,64} at 10 MHz
# n_fb: the retimed-FB period in units of the VCO period, measured after one
#   full output period of start-up has been skipped (see the testbench header:
#   the modulus chain needs one pass before its ripple-back signals are
#   correct, and the first period reads N-1 at some N/corner combinations).
# n_divout: the same ratio on the un-retimed chain output over the same
#   interval -- a second node reporting the same period, so a mis-read on
#   either one shows up as a disagreement rather than as a silent pass.
# t_arr_s: DIVOUT arrival referred to the VCO rising edge that caused it,
#   modulo one VCO period = the chain's accumulated clk->Q plus output-mux
#   delay. This is the quantity the retiming flop's setup budget is spent on.
# t_rtcq_s: retiming flop clk->Q = the constant, N-independent feedback delay
#   the PFD sees (DR-001's interface contract to #9).
# fb_pw_s: FB high time; must exceed #9's PFD reset delay.
# i_div_a: current on the dedicated vdd_div domain.
process,temp_c,vdd_v,kf_hz,n_target,k_cells,n_fb,n_divout,t_arr_s,t_rtcq_s,fb_pw_s,i_div_a,pass
ff,125,2.97,1e+07,4,2,4,4,9.99752e-08,9.99763e-08,1.99999e-07,1.63193e-05,PASS
fs,125,2.97,1e+07,4,2,4,3.99986,1.26316e-09,9.99847e-08,1.99992e-07,1.65765e-05,PASS
sf,125,2.97,1e+07,4,2,4,4,9.99863e-08,9.99782e-08,2.00006e-07,1.49463e-05,PASS
ss,125,2.97,1e+07,4,2,4,4,1.9732e-09,9.99885e-08,1.99999e-07,1.42874e-05,PASS
typical,27,3.30,1e+07,4,2,4,4,9.99638e-08,9.99714e-08,1.99998e-07,1.56849e-05,PASS
typical,125,2.97,1e+07,4,2,4,4,1.61679e-09,9.99811e-08,1.99999e-07,1.69531e-05,PASS
ff,125,2.97,1e+07,64,6,64,64,4.53392e-11,5.20582e-11,3.2e-06,1.27678e-05,PASS
fs,125,2.97,1e+07,64,6,64,64,5.78194e-11,6.10507e-11,3.19999e-06,1.14909e-05,PASS
sf,125,2.97,1e+07,64,6,64,64,5.14374e-11,5.40104e-11,3.20001e-06,1.14544e-05,PASS
ss,125,2.97,1e+07,64,6,64,64,6.43489e-10,6.52073e-11,3.2e-06,1.05158e-05,PASS
typical,27,3.30,1e+07,64,6,64,64,3.814e-11,4.67072e-11,3.2e-06,1.23421e-05,PASS
typical,125,2.97,1e+07,64,6,64,64,5.30759e-11,5.70925e-11,3.2e-06,1.10901e-05,PASS
ff,-40,2.97,2e+08,4,2,4,4,1.08473e-09,2.05242e-10,9.97e-09,0.000245214,PASS
ff,-40,3.30,2e+08,4,2,4,4,9.82038e-10,1.93521e-10,9.9622e-09,0.000293349,PASS
ff,-40,3.63,2e+08,4,2,4,4,9.59025e-10,1.80602e-10,9.9642e-09,0.00035588,PASS
ff,27,2.97,2e+08,4,2,4,4.00001,1.20659e-09,2.23629e-10,9.9819e-09,0.000251115,PASS
ff,27,3.30,2e+08,4,2,4,4,1.10142e-09,2.10741e-10,9.978e-09,0.000288296,PASS
ff,27,3.63,2e+08,4,2,4,4,1.081e-09,2.01146e-10,9.97241e-09,0.000331923,PASS
ff,125,2.97,2e+08,4,2,4,3.99999,1.35826e-09,2.58352e-10,9.96474e-09,0.000258755,PASS
ff,125,3.30,2e+08,4,2,4,4,1.30359e-09,2.33288e-10,9.9822e-09,0.000325845,PASS
ff,125,3.63,2e+08,4,2,4,4,1.21632e-09,2.23614e-10,9.9856e-09,0.00035693,PASS
