# campaign: divider-ratio/cell
# record_id: 20260731-171816-0a12e6c
# generated_utc: 2026-07-31T17:19:03Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/div23_cell.sch -> design/netlist/div23_cell.spice + sim/divider-ratio/testbench/tb_div23_cell.sp
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points x kf{200,10} MHz = 90 points
# Six independent copies of the same cell per run (see the testbench header):
#   n_div2         P=0, 50% duty in   -> must be exactly 2
#   n_div3         P=1, 50% duty in   -> must be exactly 3
#   n_div2_33duty  P=0, 33% duty in   -> must be exactly 2  (both-edges check)
#   n_div3_67duty  P=1, 67% duty in   -> must be exactly 3  (both-edges check)
#   n_1p5x         P=1 at 1.5 x kf    -> must be exactly 3  (speed margin)
#   n_2x           P=1 at 2.0 x kf    -> must be exactly 3  (speed margin)
# tcq_s: CKIN 50% to CKOUT 50%, modulo the input period.
# pw_modout_s: MODOUT high time of the divide-by-3 copy; must be one CKIN
#   period, since the preceding (2x faster) cell has to see it as one of its
#   own output periods.
# i_cell_a: supply current of the six copies divided by six.
# pass: every one of the six ratios exact to within 1e-3.
process,temp_c,vdd_v,kf_hz,n_div2,n_div3,n_div2_33duty,n_div3_67duty,n_1p5x,n_2x,tcq_s,pw_div2_s,pw_div3_s,pw_modout_s,i_cell_a,pass
ff,-40,2.97,1e+07,1.99992,3,1.99992,3,3,3,4.36067e-10,9.9979e-08,9.9965e-08,9.99737e-08,9.41583e-06,PASS
ff,-40,3.30,1e+07,1.99998,2.99991,1.99998,2.99991,3,3,3.92001e-10,9.9984e-08,9.9987e-08,9.99811e-08,1.18808e-05,PASS
ff,-40,3.63,1e+07,2,2.99996,2,2.99996,3,3,3.83863e-10,9.9985e-08,9.9982e-08,9.99842e-08,1.45896e-05,PASS
ff,27,2.97,1e+07,1.99998,2.99985,1.99998,2.99985,3,2.99901,4.67719e-10,9.9988e-08,9.9988e-08,9.99608e-08,9.71527e-06,PASS
ff,27,3.30,1e+07,2,2.9999,2,2.9999,3,2.99912,4.55474e-10,9.9977e-08,9.9976e-08,9.9962e-08,1.21502e-05,PASS
ff,27,3.63,1e+07,2.00002,2.99993,2.00002,2.99993,3,3.00001,4.46183e-10,9.9955e-08,9.9953e-08,9.99725e-08,1.48818e-05,PASS
ff,125,2.97,1e+07,2,2.99983,1.99983,3,3.00001,2.99802,5.74486e-10,9.99916e-08,9.99866e-08,-2.00033e-07,1.04529e-05,PASS
ff,125,3.30,1e+07,2.00008,3.00017,2.00008,3.00017,3,2.99867,5.65007e-10,9.9962e-08,9.9978e-08,-2.00034e-07,1.26948e-05,PASS
ff,125,3.63,1e+07,2.00002,3.00016,2.00001,3.00002,3,3.00105,5.40006e-10,9.9928e-08,9.9926e-08,-2.00027e-07,1.5216e-05,PASS
fs,-40,2.97,1e+07,1.99999,2.99996,1.99999,2.99996,3,3.00005,4.38222e-10,9.99421e-08,9.9973e-08,-2.00055e-07,7.7932e-06,PASS
fs,-40,3.30,1e+07,2,3,2,3,3,3,4.11496e-10,9.9967e-08,9.99649e-08,-2.00049e-07,9.80037e-06,PASS
fs,-40,3.63,1e+07,2.00012,3,2.00012,3,3,3,3.78572e-10,9.99637e-08,9.99522e-08,-2.00045e-07,1.19704e-05,PASS
fs,27,2.97,1e+07,1.99966,2.99981,1.99966,2.99981,3,2.99896,5.33035e-10,9.9984e-08,9.9984e-08,9.99336e-08,8.13842e-06,PASS
fs,27,3.30,1e+07,1.99984,3.00007,1.99984,3.00007,3,2.99994,4.88549e-10,9.9961e-08,9.9926e-08,9.99557e-08,1.01082e-05,PASS
fs,27,3.63,1e+07,1.99993,2.99994,1.99993,2.99994,3,3.00079,4.63415e-10,9.9936e-08,9.9972e-08,-2.00065e-07,1.23895e-05,PASS
fs,125,2.97,1e+07,2.00009,3,1.99997,3,3,3.0008,5.60696e-10,9.99764e-08,9.9961e-08,-2.00071e-07,8.6244e-06,PASS
fs,125,3.30,1e+07,2,2.99994,2,3,2.99999,2.99778,5.29673e-10,9.99365e-08,9.9981e-08,9.99232e-08,1.07278e-05,PASS
fs,125,3.63,1e+07,2.00001,3,2.00003,3.00006,3,2.99999,5.22901e-10,9.99322e-08,9.99341e-08,9.99509e-08,1.272e-05,PASS
sf,-40,2.97,1e+07,2.00001,3,2.00001,3,3,3.00202,5.77755e-10,9.9999e-08,9.99963e-08,9.99797e-08,7.86533e-06,PASS
sf,-40,3.30,1e+07,2,3,2,3,3,3.00104,5.62469e-10,9.9991e-08,9.99904e-08,9.99748e-08,9.90958e-06,PASS
sf,-40,3.63,1e+07,2.00002,3.00024,2.00002,3.00024,3,2.999,5.46753e-10,9.9953e-08,9.9943e-08,9.99782e-08,1.22157e-05,PASS
sf,27,2.97,1e+07,1.99989,2.99955,1.99989,2.99955,3,2.99757,6.32249e-10,9.9985e-08,9.9991e-08,9.99689e-08,8.12932e-06,PASS
sf,27,3.30,1e+07,1.99984,2.99993,1.99984,2.99993,3,2.99786,6.2089e-10,9.9997e-08,9.9996e-08,9.99744e-08,1.00221e-05,PASS
sf,27,3.63,1e+07,1.99994,2.9999,1.99994,2.9999,3,2.9985,6.01191e-10,9.9984e-08,9.9995e-08,9.99897e-08,1.21346e-05,PASS
sf,125,2.97,1e+07,2.00022,3.00022,2.00022,3.00022,3,2.99923,7.2938e-10,9.9988e-08,9.99878e-08,-2.00035e-07,8.68353e-06,PASS
sf,125,3.30,1e+07,2.00011,3.00019,2.00032,3,3,3.00068,7.37527e-10,9.996e-08,9.9928e-08,-2.0001e-07,1.05719e-05,PASS
sf,125,3.63,1e+07,1.99968,3.00007,2.0003,3,3,2.99787,7.30062e-10,1.00034e-07,1.00034e-07,-2.00028e-07,1.27115e-05,PASS
ss,-40,2.97,1e+07,2.00014,3.00032,2.00014,3.00032,3,2.99747,6.21797e-10,9.9923e-08,9.9932e-08,9.99509e-08,6.77055e-06,PASS
ss,-40,3.30,1e+07,2.00018,2.99991,2.00018,3.00026,3,3,5.31757e-10,9.997e-08,9.9969e-08,-2.00045e-07,8.53423e-06,PASS
