# campaign: vco-tuning-range (band0 worst-corner overlap verdict)
# record_id: 20260923-084925-1655e11
# generated_utc: 2026-09-23T08:49:35Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /home/ubuntu/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/netlist/vco.spice (committed export)
# corners: ss/125C/3.63V, Vctrl=2.7, band=0 only, N=100 mismatch samples
band,seed,f_hz,i_a
0,1,9.74747e+06,1.01315e-04
0,2,9.43860e+06,1.02102e-04
0,3,8.01708e+06,9.68966e-05
0,4,9.40920e+06,9.98225e-05
0,5,9.38315e+06,1.00125e-04
0,6,8.77629e+06,9.93513e-05
0,7,1.08181e+07,1.02794e-04
0,8,7.57317e+06,9.88229e-05
0,9,7.74565e+06,9.90186e-05
0,10,9.23777e+06,1.00776e-04
0,11,8.29441e+06,1.00422e-04
0,12,8.84994e+06,9.92902e-05
0,13,9.22202e+06,1.04820e-04
0,14,8.43989e+06,9.72152e-05
0,15,9.71659e+06,1.02739e-04
0,16,1.04119e+07,9.87139e-05
0,17,8.78685e+06,9.90505e-05
0,18,9.13204e+06,9.86497e-05
0,19,9.91079e+06,1.03939e-04
0,20,9.68106e+06,1.01081e-04
0,21,7.58973e+06,9.62754e-05
0,22,8.20831e+06,9.71568e-05
0,23,9.04549e+06,1.01260e-04
0,24,1.00636e+07,1.01453e-04
0,25,9.03026e+06,9.92192e-05
0,26,9.79731e+06,9.93376e-05
0,27,9.53837e+06,1.03436e-04
0,28,8.98561e+06,1.03029e-04
0,29,9.48442e+06,1.00741e-04
0,30,9.12280e+06,9.95071e-05
0,31,9.32552e+06,9.91272e-05
0,32,8.09320e+06,1.00641e-04
0,33,9.62515e+06,9.99177e-05
0,34,8.55402e+06,9.84197e-05
0,35,8.71919e+06,9.93355e-05
0,36,8.33199e+06,1.01635e-04
0,37,1.02332e+07,1.01751e-04
0,38,9.67066e+06,9.90786e-05
0,39,9.03674e+06,1.00366e-04
0,40,9.11445e+06,9.94780e-05
0,41,8.69547e+06,9.84854e-05
0,42,8.58220e+06,1.01091e-04
0,43,9.15635e+06,9.63737e-05
0,44,9.66194e+06,1.04469e-04
0,45,9.34053e+06,1.03238e-04
0,46,8.44476e+06,9.78481e-05
0,47,9.12778e+06,1.04638e-04
0,48,8.48928e+06,1.00589e-04
0,49,8.46543e+06,9.83309e-05
0,50,1.04561e+07,9.82106e-05
0,51,9.75387e+06,1.02189e-04
0,52,9.38910e+06,1.03614e-04
0,53,9.53083e+06,9.96659e-05
0,54,1.07763e+07,1.05035e-04
0,55,8.98995e+06,1.00255e-04
0,56,9.04317e+06,1.00450e-04
0,57,8.11305e+06,9.96035e-05
0,58,8.54958e+06,9.83413e-05
0,59,9.55414e+06,9.97528e-05
0,60,7.77605e+06,9.98848e-05
0,61,8.39635e+06,9.71977e-05
0,62,8.71742e+06,9.64821e-05
0,63,9.33339e+06,1.00049e-04
0,64,8.96790e+06,9.97715e-05
0,65,9.43171e+06,9.76590e-05
0,66,9.15763e+06,9.85845e-05
0,67,8.61798e+06,9.85109e-05
0,68,1.08759e+07,1.02786e-04
0,69,8.35787e+06,9.58598e-05
0,70,8.24086e+06,1.00598e-04
0,71,8.80705e+06,9.88932e-05
0,72,9.08340e+06,9.95770e-05
0,73,9.50482e+06,1.03822e-04
0,74,1.04260e+07,1.03691e-04
0,75,8.67411e+06,9.85752e-05
0,76,9.15041e+06,1.01592e-04
0,77,9.53101e+06,1.03276e-04
0,78,9.05409e+06,1.01004e-04
0,79,8.36969e+06,9.70669e-05
0,80,8.83382e+06,9.71187e-05
0,81,8.73644e+06,1.00194e-04
0,82,9.22788e+06,9.86805e-05
0,83,8.93810e+06,9.92017e-05
0,84,8.35495e+06,9.99689e-05
0,85,9.21637e+06,9.93344e-05
0,86,9.28530e+06,9.80986e-05
0,87,7.81263e+06,9.78853e-05
0,88,9.46693e+06,9.77503e-05
0,89,8.42535e+06,9.83876e-05
0,90,9.42243e+06,1.03615e-04
0,91,8.67455e+06,9.77763e-05
0,92,9.26701e+06,9.93013e-05
0,93,7.94572e+06,9.64586e-05
0,94,1.11295e+07,1.05920e-04
0,95,9.52806e+06,9.90299e-05
0,96,7.99896e+06,9.57623e-05
0,97,1.07982e+07,1.04902e-04
0,98,8.48885e+06,9.97758e-05
0,99,1.01194e+07,1.02170e-04
0,100,9.25698e+06,1.00783e-04
