# gf180-pll :: pll-top-smoke acquisition transient
# record_id: 20260801-085349-0e5c22d
# corner: typical_27c_3.30v (typical,res_typical,moscap_typical,mimcap_typical)
# config: N=8 band=5 icp_code=2 fref=9e6
# decimation: nearest-sample at 20e-9 s from the full ngspice trace
t_s,vctrl_v,lock_v,fb_v
0,1.2,5.48835e-09,1.60375
2.00375244e-08,1.1539,5.49165e-09,3.3
4.01199696e-08,1.1129,5.49151e-09,3.3
6.01348444e-08,1.08387,2.29067e-08,3.3
8.02196284e-08,1.09706,2.27384e-08,3.3
1.00250791e-07,1.10905,-1.08723e-08,-4.06194e-06
1.20343974e-07,1.11964,5.64726e-09,9.13005e-07
1.40363488e-07,1.12893,5.58526e-09,-6.47133e-06
1.60426862e-07,1.12854,1.34862e-08,3.3
1.80504423e-07,1.11854,-1.24147e-08,3.3
2.00570655e-07,1.12792,2.33936e-08,3.3
2.20577527e-07,1.13616,2.29715e-08,3.3
2.40663255e-07,1.14344,5.62948e-09,-2.95683e-06
2.60737758e-07,1.14985,5.50858e-09,3.15775e-06
2.80790105e-07,1.16049,2.01535e-06,6.74588e-09
3.00842673e-07,1.19262,4.30974e-08,3.3022
3.20941526e-07,1.19314,4.23519e-08,3.3
3.40967945e-07,1.19368,5.65843e-09,3.3
3.6098948e-07,1.19416,5.64169e-09,1.42709e-05
3.81004108e-07,1.19459,5.56568e-09,1.87388e-06
4.01055258e-07,1.22176,2.33519e-09,1.46695e-05
4.21125959e-07,1.2659,2.34229e-09,1.22237e-06
4.41156263e-07,1.26698,-2.31378e-09,3.29921
4.6120504e-07,1.2589,5.65941e-09,3.3
4.81245387e-07,1.25178,5.65508e-09,3.29999
5.01263694e-07,1.24727,5.14843e-08,3.3327e-10
5.21286569e-07,1.2873,7.97333e-09,1.26479e-07
5.41344095e-07,1.32373,3.00406e-09,5.71943e-07
5.61359283e-07,1.33332,5.65402e-09,3.3
5.81430462e-07,1.31756,5.65893e-09,3.3
6.01474967e-07,1.30369,5.65822e-09,3.3
6.21530175e-07,1.31408,4.71387e-08,4.73565e-06
6.41558846e-07,1.34752,-3.46024e-08,-2.81887e-06
6.61582408e-07,1.37705,-3.33135e-08,-2.41435e-06
6.81679062e-07,1.3855,-4.42575e-08,3.30001
7.01750635e-07,1.36367,-4.32462e-08,3.3
7.21819511e-07,1.3446,-4.21064e-08,3.3
7.41824298e-07,1.37147,1.13377e-08,-1.13016e-07
7.61833771e-07,1.39842,-2.39954e-10,-1.43808e-06
7.8191993e-07,1.42238,5.4883e-09,-1.13534e-08
8.01930921e-07,1.42212,-3.46859e-08,3.3
8.21961473e-07,1.39644,-3.38002e-08,3.3
8.42042096e-07,1.39231,2.58973e-08,3.3
8.62101175e-07,1.41731,-1.4323e-08,6.05626e-06
8.82170789e-07,1.43934,2.46654e-08,-5.57707e-06
9.02269759e-07,1.4589,5.48825e-09,3.82546e-06
9.22348125e-07,1.44464,4.90358e-08,3.3
9.42369299e-07,1.41671,4.80936e-08,3.3
9.62439901e-07,1.43218,6.9223e-10,3.3
9.82524902e-07,1.45279,1.01793e-08,1.49296e-06
1.00255645e-06,1.47104,5.48834e-09,-5.18407e-07
1.02259493e-06,1.48726,5.48817e-09,-0.00379068
1.04263106e-06,1.45625,3.93635e-08,3.30001
1.06265925e-06,1.44188,-3.76636e-08,3.3
1.08267739e-06,1.4619,-3.3188e-08,-2.46321e-06
1.10268805e-06,1.4794,4.29919e-08,-1.7451e-07
1.12269443e-06,1.49495,5.48844e-09,-1.61185e-06
1.14272251e-06,1.49282,4.75525e-08,3.30002
1.16275964e-06,1.45969,-3.54004e-08,3.29999
1.18280645e-06,1.46673,-3.08409e-10,3.3
1.20290486e-06,1.48407,1.11602e-08,-6.60082e-07
1.22295587e-06,1.49944,5.48689e-09,5.46564e-09
1.24301976e-06,1.51313,5.48829e-09,1.04225e-06
1.26305093e-06,1.48921,5.24159e-08,3.3
1.28309461e-06,1.46735,8.81657e-09,3.3
1.30314019e-06,1.48525,1.15686e-08,0.0725187
1.32321155e-06,1.50085,-4.42715e-10,1.6834e-06
1.34330481e-06,1.51474,5.48845e-09,4.38041e-07
1.36332572e-06,1.5171,-3.69509e-08,3.3
1.38340743e-06,1.4816,-3.60901e-08,3.29999
1.40349093e-06,1.4833,-5.85493e-09,3.3
1.4235685e-06,1.49946,-5.42169e-09,-2.42983e-06
1.44358698e-06,1.51381,-4.96467e-09,-5.03644e-07
1.46361726e-06,1.52659,5.48838e-09,-1.07832e-06
1.48364801e-06,1.5048,5.03835e-08,3.3
1.50365417e-06,1.4782,1.65997e-07,3.30002
1.52375014e-06,1.49539,1.19829e-08,3.3
1.54376706e-06,1.51056,1.18072e-08,4.70061e-06
1.56376731e-06,1.52404,5.48841e-09,8.52675e-07
1.58385105e-06,1.5276,-3.85323e-08,3.3
1.60393077e-06,1.49167,4.8908e-08,3.3
1.62394656e-06,1.489,1.2156e-08,3.3
1.64398975e-06,1.50525,-1.02576e-09,-6.28652e-07
1.66406393e-06,1.51974,-8.67394e-10,6.806e-07
1.68407205e-06,1.53259,5.48849e-09,1.11002e-06
1.7041222e-06,1.51135,-3.90006e-08,3.3
1.72417931e-06,1.48147,2.64055e-05,3.29999
1.74419773e-06,1.49814,3.88517e-08,3.3
1.76424906e-06,1.51378,3.76976e-08,1.91721e-06
1.78433986e-06,1.52771,5.48833e-09,1.2112e-06
1.804435e-06,1.53116,3.96117e-08,3.30001
1.824472e-06,1.49565,3.88743e-08,3.30001
1.84448109e-06,1.48932,1.27998e-08,3.3
1.86457706e-06,1.50638,-1.53556e-09,-3.32393e-07
1.88467655e-06,1.52152,1.22016e-08,2.44278e-06
1.90477419e-06,1.53498,5.48828e-09,1.34366e-06
1.92480805e-06,1.51327,-4.05237e-08,3.29999
1.94484452e-06,1.48237,5.68827e-09,3.3
1.96490501e-06,1.49771,1.23752e-08,3.30009
1.98500413e-06,1.51419,1.21867e-08,-1.11728e-06
2.0050987e-06,1.52884,5.48838e-09,5.50064e-09
2.02517367e-06,1.53167,-4.0322e-08,3.3
2.04527028e-06,1.49678,-3.93293e-08,3.3
2.06527812e-06,1.48765,1.25059e-08,3.3
2.08537653e-06,1.50572,1.23447e-08,-5.14852e-06
2.10540446e-06,1.52163,1.21651e-08,-6.03916e-06
2.12546022e-06,1.5358,5.48841e-09,1.77081e-06
2.14548906e-06,1.51356,4.81665e-08,3.3
2.16551664e-06,1.48175,-3.60144e-08,3.3
2.18553163e-06,1.49587,-1.48744e-09,0.0154292
2.20559659e-06,1.51328,-1.30508e-09,0.000225427
2.22562092e-06,1.52872,5.48831e-09,4.74259e-09
2.24571241e-06,1.53158,-4.03337e-08,3.3
2.26571539e-06,1.49761,5.06946e-08,3.3
2.28577246e-06,1.4848,-1.69247e-09,3.3
2.30585671e-06,1.50405,1.25172e-08,5.05799e-06
2.32592676e-06,1.52091,-1.34962e-09,-4.76427e-06
2.34599245e-06,1.5359,5.48845e-09,1.6202e-06
2.36607372e-06,1.51383,-4.08304e-08,3.3
2.38607375e-06,1.48276,-4e-08,3.29999
2.40608026e-06,1.49374,6.62537e-09,0.000262649
2.42609983e-06,1.51207,4.32532e-09,-0.0048056
2.44614315e-06,1.52837,5.48852e-09,5.59352e-09
2.46617439e-06,1.53165,-3.21797e-08,3.3
2.48625513e-06,1.4983,-3.1356e-08,3.3
2.5063287e-06,1.48198,4.48204e-08,3.3
2.52634701e-06,1.50231,4.29302e-08,-2.22484e-06
2.54643076e-06,1.5201,-3.06025e-08,-2.99589e-07
2.5664414e-06,1.53584,5.48833e-09,-2.25393e-06
2.58651795e-06,1.51426,-3.74819e-08,3.3
2.60658052e-06,1.48378,4.79765e-08,3.3
2.62660076e-06,1.49147,-1.95839e-08,0.00014368
2.64660108e-06,1.51073,2.98515e-08,0.00670943
2.66665733e-06,1.5279,-1.82181e-08,-3.38512e-06
2.68672763e-06,1.53148,-3.91462e-08,3.3
2.70674696e-06,1.49895,-3.8221e-08,3.3
2.72681482e-06,1.47912,-5.38923e-08,3.3
2.74682636e-06,1.5004,-1.19748e-08,4.88459e-06
2.76690078e-06,1.51909,2.22804e-08,-1.68007e-06
2.78698782e-06,1.5357,5.48828e-09,1.49393e-07
2.80703599e-06,1.51461,4.48815e-08,3.3
2.82704932e-06,1.48485,-3.28158e-08,3.3
2.84709184e-06,1.48911,-1.59863e-08,-0.000178808
2.86711531e-06,1.50934,2.62953e-08,0.000236024
2.88716516e-06,1.52735,-1.47189e-08,1.19549e-06
2.9072368e-06,1.53155,4.73402e-08,3.3
2.92726241e-06,1.4997,4.65394e-08,3.3
2.94736028e-06,1.47689,4.15315e-06,3.3
2.96737771e-06,1.49862,-4.78403e-09,-1.52365e-06
2.98738812e-06,1.51813,-4.47613e-09,2.25942e-07
3.00743909e-06,1.53549,5.48836e-09,-1.1202e-06
3.02748593e-06,1.51533,-2.97012e-08,3.3
3.04748886e-06,1.48618,4.03752e-08,3.3
3.0675075e-06,1.48679,4.58777e-09,-0.000461046
3.08752819e-06,1.50796,4.5486e-09,0.00460633
3.10761912e-06,1.52683,6.45782e-09,-8.88107e-07
3.12767476e-06,1.53208,5.01811e-08,3.3
3.14769178e-06,1.50084,-3.79389e-08,3.3
3.16777148e-06,1.47543,7.90195e-08,3.3
3.18783529e-06,1.49686,5.08221e-09,1.72525e-06
3.20789692e-06,1.51727,5.0287e-09,-1.38234e-06
3.22792918e-06,1.53537,5.48839e-09,-7.27903e-07
3.24796643e-06,1.51608,-2.12652e-08,3.3
3.26804509e-06,1.4874,3.20805e-08,3.3
3.2880635e-06,1.48457,1.32607e-08,-0.000275212
3.30807809e-06,1.50669,-2.10394e-09,-0.011068
3.32810361e-06,1.52629,1.28882e-08,-3.07941e-06
3.3481796e-06,1.53257,5.23611e-08,3.3
3.3681847e-06,1.50196,5.1387e-08,3.3
3.38827983e-06,1.47527,5.03041e-08,3.3
3.40829117e-06,1.49508,-2.54267e-08,3.53244e-06
3.42832084e-06,1.5163,-2.437e-08,4.34733e-06
3.44833229e-06,1.53513,5.48849e-09,-4.3431e-07
3.46840984e-06,1.51684,5.04824e-08,3.3
3.48845008e-06,1.48878,4.96244e-08,3.30001
3.50846699e-06,1.48198,-1.1663e-09,-0.0054303
3.52854613e-06,1.50523,-2.81728e-10,0.0031288
3.54855136e-06,1.5256,-1.96649e-11,4.92154e-06
3.56859427e-06,1.53302,-3.48125e-08,3.3
3.5886109e-06,1.50295,-3.3937e-08,3.3
3.60862942e-06,1.47688,4.42912e-08,3.3
3.62868701e-06,1.49301,1.7112e-08,4.56774e-07
3.64875188e-06,1.51512,1.66715e-08,-3.14242e-07
3.66876084e-06,1.5347,5.48877e-09,5.63495e-09
3.68883251e-06,1.51777,-3.12687e-08,3.3
3.7088995e-06,1.4902,4.18394e-08,3.3
3.72891952e-06,1.47949,1.00321e-08,0.0530687
3.74899366e-06,1.50376,1.34026e-08,2.74923e-08
3.76907979e-06,1.525,-2.17325e-09,-6.4893e-07
3.78910723e-06,1.5336,-3.43748e-08,3.3
3.80917102e-06,1.50402,4.4798e-08,3.3
3.82919242e-06,1.47844,4.38785e-08,3.3
3.84925503e-06,1.49128,1.3562e-08,-8.35362e-07
3.86928385e-06,1.51415,1.33438e-08,-1.53355e-07
3.88928889e-06,1.53444,5.4941e-09,1.54879e-08
3.90932159e-06,1.5185,5.41753e-08,3.3
3.92937981e-06,1.49148,5.32148e-08,3.3
3.9493851e-06,1.477,1.3314e-08,3.21073
3.96938842e-06,1.50208,-2.53885e-09,3.77949e-06
3.98948042e-06,1.52411,1.33225e-08,-3.23986e-06
4.00952973e-06,1.53416,3.70864e-08,3.30001
4.02960659e-06,1.5051,-2.50633e-08,3.3
4.04968545e-06,1.47994,-2.43246e-08,3.3
4.06976874e-06,1.48929,-2.72616e-09,-6.35703e-07
4.08983712e-06,1.51302,1.34887e-08,-1.14792e-06
4.10993578e-06,1.53412,-2.26647e-09,2.27675e-06
4.12994038e-06,1.51906,-4.29606e-08,3.3
4.15003413e-06,1.49253,5.33025e-08,3.30001
4.17005775e-06,1.47511,2.6422e-07,3.34291
4.19010567e-06,1.50071,-2.69421e-09,-4.68088e-06
4.21012936e-06,1.52341,1.34684e-08,4.01675e-06
4.23016691e-06,1.53437,-3.30458e-08,3.3
4.2501991e-06,1.50595,4.35155e-08,3.3
4.27022179e-06,1.48134,-3.13213e-08,3.3
4.29023099e-06,1.48712,-2.89071e-09,6.14348e-07
4.31025356e-06,1.51163,-2.66643e-09,6.33963e-08
4.33033489e-06,1.53345,-2.42941e-09,3.34438e-06
4.35035614e-06,1.51983,-8.98915e-09,3.3
4.37036659e-06,1.4939,-8.67112e-09,3.30001
4.39043159e-06,1.47352,-3.22485e-09,3.3
4.41048208e-06,1.4988,-8.05714e-09,-4.51583e-06
4.43048693e-06,1.52227,1.8657e-08,7.96564e-06
4.45052827e-06,1.53492,5.13684e-08,3.30001
4.47062688e-06,1.50695,-3.90683e-08,3.3
4.49067297e-06,1.48278,4.93426e-08,3.3
4.5107291e-06,1.48484,-3.65454e-08,-6.01922e-07
4.53078387e-06,1.51027,4.60819e-08,2.96751e-06
4.55087558e-06,1.53282,4.44774e-08,1.89243e-06
4.5709062e-06,1.52044,3.82108e-08,3.3
4.59097589e-06,1.49494,-2.6207e-08,3.29993
4.61104583e-06,1.47246,-2.55257e-08,3.3
4.63113256e-06,1.49718,9.15835e-09,-2.54482e-06
4.65123061e-06,1.52149,2.01048e-09,2.35391e-06
4.67132013e-06,1.5348,-3.97834e-08,3.3
4.69137767e-06,1.50745,5.01491e-08,3.3
4.71141082e-06,1.4838,-3.77844e-08,3.3
4.73147399e-06,1.48271,-1.60524e-09,-1.02412e-07
4.75156544e-06,1.50905,-7.28307e-10,2.35658e-06
4.77162998e-06,1.53226,-3.86195e-10,4.33031e-06
4.79164448e-06,1.5206,4.75683e-08,3.3
4.81167223e-06,1.49569,4.66617e-08,3.30002
4.83172864e-06,1.4737,-3.44171e-08,3.3
4.85178925e-06,1.49535,2.19018e-08,-1.00778e-06
4.87187968e-06,1.52041,-1.04631e-08,2.42758e-07
